trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.8105842459701871}",25,0,-62.71722019847205,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8065414401773269}",30,0,-70.91847759743447,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.8025187979624785}",30,0,-99.36540611244159,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,0,-96.63476641226092,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.794533602503334}",20,0,-100.37302245720653,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.7905708496287356}",25,0,-37.483125656742345,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.7866278610665535}",20,0,-69.57223579583099,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.7827045382418681}",20,5,-65.1612508398263,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-75.86727740660501,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.774916497961081}",20,0,-0.3687893665150599,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.7710515858035663}",20,0,-31.197977399379294,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.7672059499758557}",20,0,-38.28313065172659,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.7633794943368531}",20,0,-139.95479969161372,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
55,False,"{'a': 0.5, 'e': 0.7595721232249685}",20,0,-42.806096145659254,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,15,-12.70366509629631,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.7520142543193826}",20,1,-157.31552179711426,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 3}",1
58,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-103.34772902299297,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7445315874659094}",20,10,-15.676894764364373,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-19.49935369834151,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.7371233743916278}",25,12,0.5504518925380193,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,0,-40.97235553673364,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.7297888742690568}",20,3,-99.92346054467583,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.7261490370736909}",30,13,5.953682018160436,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.7225273536420722}",20,0,-73.66842433355689,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.7189237334319262}",25,0,-116.94188669439045,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
67,False,"{'a': 0.5, 'e': 0.7153380863525599}",25,15,-31.436223914799726,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.7117703227626098}",20,16,7.216672746308745,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.7082203534678}",20,0,-24.545375159242468,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,9,-3.553075087914113,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.7011734432085724}",20,0,-41.276524625365994,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-22.383787360985817,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.6941966508779789}",20,0,-57.54927877935448,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.6907343306373547}",30,10,-53.49454848977091,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
75,False,"{'a': 0.5, 'e': 0.6872892787909722}",20,0,-99.00280943036967,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.6838614092123558}",20,9,11.708006683952942,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.6804506362045877}",20,0,-137.12668123713016,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.6770568744981647}",35,8,-68.64577131056375,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.6736800392488677}",20,0,-61.75343335007853,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.6703200460356393}",25,15,-4.966773664450328,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
